app,apktool_d,dex2jar,zip,bcel,dx,apktool_a,jarsigner
com.medoli.astrohoroscope,0.75,7.14,3.84,1.40,20.77,2.11,1.31
com.meredith.redplaid,1.21,4.04,1.48,6.23,8.64,2.29,1.53
com.michaels.michaelsstores,1.18,5.66,2.11,7.39,12.82,5.52,3.41
com.midasapps.roomcreator,3.60,4.21,1.49,1.15,13.71,22.27,15.03
com.miumeet.android.client,1.68,12.23,5.19,11.54,47.35,11.28,7.33
com.mizusoft.relaxandsleep,0.48,0.97,0.18,1.10,2.99,0.74,0.48
com.mobicare.secretdiary,0.78,3.29,2.06,1.13,7.45,1.49,0.94
com.moderati.zippo2,0.97,2.38,0.46,1.48,5.00,1.29,0.91
com.modiface.hair,0.97,2.08,0.49,2.95,5.11,1.39,0.96
com.modiface.haircolor,0.93,4.91,1.37,3.54,17.43,2.06,1.22
com.modiface.hairstyles,1.64,7.83,2.47,7.48,20.80,4.35,2.46
com.modiface.virtualmakeover,1.66,8.17,2.53,8.00,21.41,4.73,2.70
com.mokriya.craigslist,1.27,8.80,3.11,9.19,24.58,3.05,1.89
com.move.realtor,1.53,12.26,5.89,13.93,71.69,4.28,2.66
com.mowingo.gaaf,0.78,5.50,5.12,4.90,12.64,3.81,2.67
com.musictool.mp3skulldownload,0.62,4.81,1.52,3.06,14.42,1.66,1.11
com.muslimtoolbox.app.android.prayertimes,1.96,14.52,1.15,4.06,61.39,2.24,1.47
com.mvl.tanger,1.15,9.48,5.22,7.20,24.53,2.95,1.94
com.mycokerewards.android,1.03,3.85,0.93,2.62,8.31,1.76,1.09
com.mywebgrocer.AcmeCircular,1.03,8.93,3.34,5.96,23.42,2.86,1.69
com.nailartideas.deversen.app,1.13,4.77,1.11,2.89,13.10,1.77,1.18
com.nametatu.deversen.app,1.03,4.56,1.15,3.05,14.07,1.80,1.14
com.napaonline.napaknowhow,0.55,2.26,0.38,1.36,4.69,1.21,0.76
com.nestlabs.android,2.89,10.17,2.50,7.08,20.20,6.44,3.55
com.nextglass.app,1.39,6.28,3.77,6.47,14.47,10.09,6.57
com.nineteen.mirror,0.93,6.44,2.21,0.68,17.43,1.85,1.32
com.oldnavy.snapappy,0.47,3.87,0.91,2.30,8.05,1.11,0.77
com.oliveinc.aircallreceive,0.65,5.85,2.04,1.36,16.83,1.82,1.07
com.omniluxtrade.allrecipes,1.41,5.34,1.37,2.59,15.55,2.99,1.76
com.onteca.countdown,1.02,2.70,0.39,3.33,6.47,1.20,0.85
com.opentable,1.53,9.67,4.18,8.89,38.26,3.21,2.12
